OriginalAddress1,PermitNum,PermitClass,PermitClassMapped,PermitTypeDesc,Description,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,AppliedDate,EstProjectCost,IssuedDate,ExpiresDate,StatusCurrent,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1
915 A N 98TH ST,6891946-CN,Single Family/Duplex,Residential,New,"Construct new NW single family residence, per plan (Establish use as single family and detached accessory dwelling unit (DADU) and construct 3 single family residences and 3 one family dwellings (DADU), review and process for 6 CN's under 6891946-CN)",0,0,1,11/28/2022 12:00:00 AM,203369,08/01/2023 12:00:00 AM,02/01/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6891946-CN,47.70038119,-122.34674591,"(47.70038119, -122.34674591)"
353 N 137TH ST,6917721-CN,Single Family/Duplex,Residential,New,"Establish use as and construct new single family residence, per plan.",0,0,0,11/23/2022 12:00:00 AM,240117,09/19/2023 12:00:00 AM,03/19/2025 12:00:00 AM,Issued,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6917721-CN,47.72812269,-122.35311187,"(47.72812269, -122.35311187)"
2629 41ST AVE SW,6917723-CN,Single Family/Duplex,Residential,New,"Construct new (East) two-family dwelling, per plan.  (Establish use as single family residence with (1) AADU  and (1) DADU and Construct one and two family dwellings, per plan / Review and process for two CN records under 6917723-CN)",0,0,2,11/23/2022 12:00:00 AM,447028,06/05/2023 12:00:00 AM,12/05/2024 12:00:00 AM,Issued,SEATTLE,WA,98116,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6917723-CN,47.58027342,-122.38426346,"(47.58027342, -122.38426346)"
7724 14TH AVE NW,6925939-CN,Single Family/Duplex,Residential,New,"New SFR with garage and carport. Construct as single family dwelling, per plan. Existing SFR to remain. Project includes removal of existing detached garage.",1,0,1,11/23/2022 12:00:00 AM,215424,04/17/2023 12:00:00 AM,10/17/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6925939-CN,47.68576713,-122.37365209,"(47.68576713, -122.37365209)"
2629 41ST AVE SW,6934888-CN,Single Family/Duplex,Residential,New,"Construct new (West) single-family dwelling, per plan.  (Establish use as single family residence with (1) AADU  and (1) DADU and Construct one and two family dwellings, per plan / Review and process for two CN records under 6917723-CN)",0,0,1,11/23/2022 12:00:00 AM,179609,06/05/2023 12:00:00 AM,12/05/2024 12:00:00 AM,Issued,SEATTLE,WA,98116,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6934888-CN,47.58027342,-122.38426346,"(47.58027342, -122.38426346)"
9537 3RD AVE NW,6935139-CN,Single Family/Duplex,Residential,New,"Construct new one family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one and two family dwellings, per plan. Review and processing for two records under 6915629-CN.)",0,0,1,11/22/2022 12:00:00 AM,188812,04/21/2023 12:00:00 AM,10/21/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6935139-CN,47.69898858,-122.3610488,"(47.69898858, -122.3610488)"
4456 B 33RD AVE W,6880422-CN,Single Family/Duplex,Residential,New,"Construct additions and substantial alterations to existing garage and convert into one family dwelling (DADU), per plan.",0,0,1,11/22/2022 12:00:00 AM,122017,06/19/2023 12:00:00 AM,12/19/2024 12:00:00 AM,Issued,,WA,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6880422-CN,47.66096827,-122.39901305,"(47.66096827, -122.39901305)"
9537 3RD AVE NW,6915629-CN,Single Family/Duplex,Residential,New,"Construct new two family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one and two family dwellings, per plan. Review and processing for two records under 6915629-CN.)",1,1,2,11/22/2022 12:00:00 AM,642757,04/24/2023 12:00:00 AM,10/24/2024 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6915629-CN,47.69898858,-122.3610488,"(47.69898858, -122.3610488)"
840 NW MARKET ST,6902311-CN,Multifamily,Residential,New,"Construct new multifamily building with (2) Live/Work and (4) Townhouse Units, and occupy, per plan.",0,0,4,11/21/2022 12:00:00 AM,1669888,08/22/2023 12:00:00 AM,02/22/2025 12:00:00 AM,Issued,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6902311-CN,47.66892613,-122.36807165,"(47.66892613, -122.36807165)"
1213 NE 104TH ST,6934366-CN,Single Family/Duplex,Residential,New,"Construct one-family dwelling, per plans.  (Establish use as single family residence with attached and detached accessory dwelling units and construct one- and two-family dwellings.  Reviews and processing for 2 construction records under 6917719-CN.)",0,0,1,11/21/2022 12:00:00 AM,164066,07/12/2023 12:00:00 AM,01/12/2025 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6934366-CN,47.70370422,-122.31445132,"(47.70370422, -122.31445132)"
11302 MERIDIAN AVE N,6836727-CN,Institutional,Non-Residential,New,"Establish use as a city facility, construct institutional building [Seattle Fire Dept-Station 31], occupy per plan. Mechanical included.",0,0,0,11/21/2022 12:00:00 AM,2082373,01/10/2024 12:00:00 AM,07/10/2025 12:00:00 AM,Issued,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6836727-CN,47.71075192,-122.3337817,"(47.71075192, -122.3337817)"
1209 NE 104TH ST,6917719-CN,Single Family/Duplex,Residential,New,"Construct two-family dwelling, per plans.  (Establish use as single family residence with attached and detached accessory dwelling units and construct one- and two-family dwellings.  Reviews and processing for 2 construction records under 6917719-CN.)",0,0,2,11/18/2022 12:00:00 AM,565375,07/10/2023 12:00:00 AM,01/10/2025 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6917719-CN,47.70370312,-122.31459509,"(47.70370312, -122.31459509)"
4748 25TH AVE SW,6910266-CN,Single Family/Duplex,Residential,New,"Construct new (West) two-family dwelling, per plan.  (Establish use as single family residence with (1) AADU  and (1) DADU and Construct one and two family dwellings, per plan / Review and process for two CN records under 6910266-CN)",0,0,2,11/17/2022 12:00:00 AM,361951,06/22/2023 12:00:00 AM,12/22/2024 12:00:00 AM,Issued,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6910266-CN,47.55964482,-122.36393768,"(47.55964482, -122.36393768)"
1715 17TH AVE,6903688-CN,Multifamily,Residential,New,"Construct west townhouse A, per plan. (Establish use as townhouse and construct 2 townhouse buildings containing 4 duplexes. Review and process for 2 construction records under 6903688-CN)",0,0,4,11/17/2022 12:00:00 AM,998379,06/05/2023 12:00:00 AM,12/05/2024 12:00:00 AM,Issued,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6903688-CN,47.61706975,-122.31059564,"(47.61706975, -122.31059564)"
1207 NE 104TH ST,6926051-CN,Single Family/Duplex,Residential,New,"Establish use as single family residence with two attached accessory dwelling units and construct a three-unit townhouse, per plans.",0,0,3,11/17/2022 12:00:00 AM,728161,06/20/2023 12:00:00 AM,12/20/2024 12:00:00 AM,Issued,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6926051-CN,47.70380071,-122.31455456,"(47.70380071, -122.31455456)"
8045 WALLINGFORD AVE N,6928803-CN,Single Family/Duplex,Residential,New,"Construct new one-family dwelling (DADU), per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU)/(DADU) and construct one and two family dwellings, per plan / Review and process for two CN records under 6905368-CN).",0,0,1,11/16/2022 12:00:00 AM,167365,05/08/2023 12:00:00 AM,11/08/2024 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6928803-CN,47.68819083,-122.33699789,"(47.68819083, -122.33699789)"
8043 WALLINGFORD AVE N,6905368-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, existing foundation to remain, per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU)/(DADU) and construct one and two family dwellings, per plan / Review and process for two CN records under 6905368-CN).",1,0,1,11/16/2022 12:00:00 AM,653812,05/08/2023 12:00:00 AM,11/08/2024 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6905368-CN,47.68818696,-122.33672806,"(47.68818696, -122.33672806)"
37 W ETRURIA ST,6905379-CN,Multifamily,Residential,New,"Establish use as single family residence with attached accessory dwelling unit (AADU) and construct two family dwelling, per plan",2,0,2,11/16/2022 12:00:00 AM,392118,08/21/2023 12:00:00 AM,02/21/2025 12:00:00 AM,Issued,SEATTLE,WA,98119,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6905379-CN,47.64746309,-122.35924617,"(47.64746309, -122.35924617)"
1600 S COLUMBIAN WAY,6867443-CN,Institutional,Non-Residential,New,"Construction of a new institutional building (Mercer Middle School), occupy per plan. Mechanical included.",0,0,0,11/15/2022 12:00:00 AM,37020906,10/16/2023 12:00:00 AM,04/16/2025 12:00:00 AM,Issued,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6867443-CN,47.56413856,-122.31209778,"(47.56413856, -122.31209778)"
6837 27TH AVE NE,6911177-CN,Single Family/Duplex,Residential,New,"Establish use as single family residence with attached accessory dwelling unit (AADU) and construct two family dwelling, per plan",0,0,2,11/12/2022 12:00:00 AM,466059,06/19/2023 12:00:00 AM,12/19/2024 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6911177-CN,47.67885562,-122.29877265,"(47.67885562, -122.29877265)"
11825 59TH AVE S,6876791-CN,Multifamily,Residential,New,"Construct North multifamily building per plan. (Construct two new multifamily building, occupy per plan / Review and process for two CN records under 6876791-CN)",0,0,3,11/12/2022 12:00:00 AM,564182,08/07/2023 12:00:00 AM,02/07/2025 12:00:00 AM,Issued,SEATTLE,WA,98178,MERGEN CONST/HOME IMPRMNT LLC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6876791-CN,47.49682929,-122.26000915,"(47.49682929, -122.26000915)"
11831 59TH AVE S,6932840-CN,Multifamily,Residential,New,"Construct South multifamily building per plan. (Construct two new multifamily building, occupy per plan / Review and process for two CN records under 6876791-CN)",0,0,3,11/11/2022 12:00:00 AM,564182,08/08/2023 12:00:00 AM,02/08/2025 12:00:00 AM,Issued,SEATTLE,WA,98178,MERGEN CONST/HOME IMPRMNT LLC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6932840-CN,47.49669456,-122.2600096,"(47.49669456, -122.2600096)"
1110 21ST AVE S,6926863-CN,Single Family/Duplex,Residential,New,"Construct East two-family dwelling, per plan. (Establish use as (2) townhouse and (2) single family residence. Construct (2) one-family dwellings and (2) two-family dwellings, per plan / Review and process for four CN records under 6914289-CN)",0,0,2,11/10/2022 12:00:00 AM,429086,06/07/2023 12:00:00 AM,12/07/2024 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6926863-CN,47.59261361,-122.30444936,"(47.59261361, -122.30444936)"
1106 21ST AVE S,6926864-CN,Single Family/Duplex,Residential,New,"Construct West one-family dwelling, per plan. (Establish use as (2) townhouse and (2) single family residence. Construct (2) one-family dwellings and (2) two-family dwellings, per plan / Review and process for four CN records under 6914289-CN)",0,0,1,11/10/2022 12:00:00 AM,214366,06/07/2023 12:00:00 AM,12/07/2024 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6926864-CN,47.5927028,-122.30464131,"(47.5927028, -122.30464131)"
1108 21ST AVE S,6926865-CN,Single Family/Duplex,Residential,New,"Construct East one-family dwelling, per plan. (Establish use as (2) townhouse and (2) single family residence. Construct (2) one-family dwellings and (2) two-family dwellings, per plan / Review and process for four CN records under 6914289-CN)",0,0,1,11/10/2022 12:00:00 AM,216481,06/07/2023 12:00:00 AM,12/07/2024 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6926865-CN,47.59270313,-122.3044478,"(47.59270313, -122.3044478)"
4538 40TH AVE SW,6916215-CN,Single Family/Duplex,Residential,New,"Construct West Townhouse (TH A-C), per plan. (Establish use as Townhouse and Duplex and construct West TH and two-family dwelling, per plan. Review and process for two CN records under 6916215-CN)",0,0,3,11/09/2022 12:00:00 AM,681044,11/29/2023 12:00:00 AM,05/29/2025 12:00:00 AM,Issued,SEATTLE,WA,98116,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6916215-CN,47.56174524,-122.38254029,"(47.56174524, -122.38254029)"
1112 21ST AVE S,6914289-CN,Single Family/Duplex,Residential,New,"Construct West two-family dwelling, per plan. (Establish use as (2) townhouse and (2) single family residence. Construct (2) one-family dwellings and (2) two-family dwellings, per plan / Review and process for four CN records under 6914289-CN)",0,0,2,11/09/2022 12:00:00 AM,429659,06/07/2023 12:00:00 AM,12/07/2024 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6914289-CN,47.59261151,-122.3046393,"(47.59261151, -122.3046393)"
4544 40TH AVE SW,6932921-CN,Single Family/Duplex,Residential,New,"Construct East Duplex (TH E & D), per plan. (Establish use as Townhouse and Duplex and construct West TH and two-family dwelling, per plan. Review and process for two CN records under 6916215-CN)",0,0,2,11/09/2022 12:00:00 AM,444144,11/29/2023 12:00:00 AM,05/29/2025 12:00:00 AM,Issued,SEATTLE,WA,98116,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6932921-CN,47.56174552,-122.38231799,"(47.56174552, -122.38231799)"
8618 37TH AVE S,6877611-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU/DADU) and construct one and two family dwellings, per plan / Review and process for two CN records under 6877611-CN).",0,0,2,11/08/2022 12:00:00 AM,624400,07/22/2023 12:00:00 AM,01/22/2025 12:00:00 AM,Issued,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6877611-CN,47.52542019,-122.28564018,"(47.52542019, -122.28564018)"
10523 14TH AVE NW,6834539-CN,Single Family/Duplex,Residential,New,"Establish use as and construct new single family residence, per plan.",1,1,1,11/08/2022 12:00:00 AM,998375,02/23/2023 12:00:00 AM,08/23/2024 12:00:00 AM,Issued,SEATTLE,WA,98177,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6834539-CN,47.70594175,-122.3744157,"(47.70594175, -122.3744157)"
3820 NE 89TH ST,6914049-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan.  (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct one and two family dwellings, per plan.  Review and process for two records under 6914049-CN)",0,0,2,11/07/2022 12:00:00 AM,521491,03/06/2023 12:00:00 AM,09/06/2024 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6914049-CN,47.69326722,-122.2870236,"(47.69326722, -122.2870236)"
1741 17TH AVE,6903333-CN,Multifamily,Residential,New,"Construct east 4-unit townhouse, per plan. (Construct (2) 4-unit townhouses per plan. Review and process for two CN records under 6903333-CN)",0,0,4,11/07/2022 12:00:00 AM,936618,06/05/2023 12:00:00 AM,12/05/2024 12:00:00 AM,Issued,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6903333-CN,47.61731741,-122.31048752,"(47.61731741, -122.31048752)"
1731 17TH AVE,6932136-CN,Multifamily,Residential,New,"Construct west 4-unit townhouse, per plan. (Construct (2) 4-unit townhouses per plan. Review and process for two CN records under 6903333-CN)",0,0,4,11/07/2022 12:00:00 AM,922057,06/05/2023 12:00:00 AM,12/05/2024 12:00:00 AM,Issued,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6932136-CN,47.61723842,-122.3106939,"(47.61723842, -122.3106939)"
3824 NE 89TH ST,6932137-CN,Single Family/Duplex,Residential,New,"Construct new one-family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct one and two family dwellings, per plan.  Review and process for two records under 6914049-CN)",0,0,1,11/07/2022 12:00:00 AM,151884,03/06/2023 12:00:00 AM,09/06/2024 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6932137-CN,47.69337298,-122.28694162,"(47.69337298, -122.28694162)"
3234 25TH AVE W,6922215-CN,Single Family/Duplex,Residential,New,"Establish use of new single-family residence and construct one-family dwelling, per plan.",0,0,1,11/07/2022 12:00:00 AM,406710,02/17/2023 12:00:00 AM,08/17/2024 12:00:00 AM,Issued,SEATTLE,WA,98199,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6922215-CN,47.64953863,-122.38823446,"(47.64953863, -122.38823446)"
12736 7TH AVE NW,6932152-CN,Single Family/Duplex,Residential,New,"Construct new DADU, per plan. (Establish use as single family residence with (1) AADU and (1) DADU and Construct one- and two-family dwellings, per plan / Review and process for two CN records under 6912134-CN)",0,0,1,11/05/2022 12:00:00 AM,193800,05/16/2023 12:00:00 AM,11/16/2024 12:00:00 AM,Issued,SEATTLE,WA,98177,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6932152-CN,47.72230607,-122.36475779,"(47.72230607, -122.36475779)"
12734 7TH AVE NW,6912134-CN,Single Family/Duplex,Residential,New,"Construct west two-family dwelling, per plan. (Establish use as single family residence with (1) AADU and (1) DADU and Construct one- and two-family dwellings, per plan / Review and process for two CN records under 6912134-CN)",0,0,2,11/05/2022 12:00:00 AM,737900,05/16/2023 12:00:00 AM,11/16/2024 12:00:00 AM,Issued,SEATTLE,WA,98177,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6912134-CN,47.72230607,-122.36475779,"(47.72230607, -122.36475779)"
3238 NE 86TH ST,6911535-CN,Single Family/Duplex,Residential,New,"Establish use as and construct new single family residence with attached accessory dwelling unit (AADU), per plan.",1,1,2,11/04/2022 12:00:00 AM,643700,04/22/2023 12:00:00 AM,10/22/2024 12:00:00 AM,Issued,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6911535-CN,47.69116158,-122.29175845,"(47.69116158, -122.29175845)"
5440 KIRKWOOD PL N,6917512-CN,Single Family/Duplex,Residential,New,"Construct two-family dwelling, per plans.  (Establish use as single family residence with attached and detached accessory dwelling units and construct one- and two-family dwellings. Reviews and processing for two records under 6917512-CN)",0,0,3,11/04/2022 12:00:00 AM,524920,07/10/2023 12:00:00 AM,01/10/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6917512-CN,47.66878053,-122.33099149,"(47.66878053, -122.33099149)"
7507 41ST AVE NE,6915432-CN,Single Family/Duplex,Residential,New,"Establish use and construct single family residence with an attached accessory dwelling unit and construct as two family dwelling, per plan.",0,0,2,11/04/2022 12:00:00 AM,523348,04/25/2023 12:00:00 AM,10/25/2024 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6915432-CN,47.68340219,-122.28445579,"(47.68340219, -122.28445579)"
2624 EASTLAKE AVE E,6874904-CN,Multifamily,Residential,New,"Construct East townhouse building, occupy per plan. (Establish use as and construct (2) townhouse buildings, review and process for 2 CN's under 6850580-CN)",0,0,3,11/04/2022 12:00:00 AM,980038,11/04/2022 12:00:00 AM,05/04/2024 12:00:00 AM,Issued,SEATTLE,WA,98102,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6874904-CN,47.64393456,-122.32555837,"(47.64393456, -122.32555837)"
5440 KIRKWOOD PL N,6931757-CN,Single Family/Duplex,Residential,New,"Construct one-family dwelling, per plans.  (Establish use as single family residence with attached and detached accessory dwelling units and construct one- and two-family dwellings. Reviews and processing for two records under 6917512-CN)",0,0,1,11/04/2022 12:00:00 AM,188196,07/10/2023 12:00:00 AM,01/10/2025 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6931757-CN,47.66878053,-122.33099149,"(47.66878053, -122.33099149)"
2637 41ST AVE SW,6929272-CN,Single Family/Duplex,Residential,New,"Construct west one-family dwelling, per plan. (Establish use as single family residence with (1) AADU and (1) DADU and construct one- and two-family dwellings, per plan / Review and process for two CN records under 6913523-CN)",0,0,1,11/01/2022 12:00:00 AM,382346,03/07/2023 12:00:00 AM,09/07/2024 12:00:00 AM,Issued,SEATTLE,WA,98116,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6929272-CN,47.58002372,-122.38447883,"(47.58002372, -122.38447883)"
2639 41ST AVE SW,6913523-CN,Single Family/Duplex,Residential,New,"Construct east two-family dwelling, per plan. (Establish use as single family residence with (1) AADU and (1) DADU and construct one- and two-family dwellings, per plan / Review and process for two CN records under 6913523-CN)",1,1,2,11/01/2022 12:00:00 AM,509424,03/07/2023 12:00:00 AM,09/07/2024 12:00:00 AM,Issued,SEATTLE,WA,98116,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6913523-CN,47.58001479,-122.38429678,"(47.58001479, -122.38429678)"
8004 39th AVE SW,6913526-CN,Single Family/Duplex,Residential,New,"Construct west one-family dwelling. [Establish use as single-family residence and detached accessory dwelling unit and Construct one-family dwellings, per plan. Review and processing for (2) construction records under 6913526-CN.]",1,1,1,10/31/2022 12:00:00 AM,580872,10/02/2023 12:00:00 AM,04/02/2025 12:00:00 AM,Issued,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6913526-CN,47.53118937,-122.38174865,"(47.53118937, -122.38174865)"
3753 SW MONROE ST,6930671-CN,Single Family/Duplex,Residential,New,"""Construct east one-family dwelling. [Establish use as single-family residence and detached accessory dwelling unit and Construct one-family dwellings, per plan. Review and processing for (2) construction records under 6913526-CN.]""",0,0,1,10/31/2022 12:00:00 AM,63944,10/02/2023 12:00:00 AM,04/02/2025 12:00:00 AM,Issued,SEATTLE,WA,98136,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6930671-CN,47.53117515,-122.38167443,"(47.53117515, -122.38167443)"
5614 KEYSTONE PL N,6930426-CN,Single Family/Duplex,Residential,New,"Construct new one family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one and two family dwellings per plan. Review and processing for two records under 6918728-CN)",0,0,1,10/29/2022 12:00:00 AM,152188,03/15/2023 12:00:00 AM,09/15/2024 12:00:00 AM,Issued,,WA,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6930426-CN,47.66921229,-122.33282656,"(47.66921229, -122.33282656)"
2131 E JAMES ST,6887829-CN,Single Family/Duplex,Residential,New,"Construct WEST two family dwelling, this permit [Establish use as townhouse (TH) and construct 2 two-family dwellings, per plan; review and process for two records under 6887829-CN].",0,0,2,10/29/2022 12:00:00 AM,482400,05/16/2023 12:00:00 AM,11/16/2024 12:00:00 AM,Issued,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6887829-CN,47.60706384,-122.30412176,"(47.60706384, -122.30412176)"
5612 KEYSTONE PL N,6918728-CN,Single Family/Duplex,Residential,New,"Construct new two family dwelling, per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one and two family dwellings per plan. Review and processing for two records under 6918728-CN)",1,1,2,10/29/2022 12:00:00 AM,395322,03/15/2023 12:00:00 AM,09/15/2024 12:00:00 AM,Issued,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6918728-CN,47.66917223,-122.33298259,"(47.66917223, -122.33298259)"
4722 37TH AVE SW,6919028-CN,Single Family/Duplex,Residential,New,"Construct west SFR #1, per plan (Establish use as single-family residence and construct 2 single-family dwellings. Review and process for 2 construction records under 6919028-CN)",0,0,1,10/28/2022 12:00:00 AM,254447,07/13/2023 12:00:00 AM,01/13/2025 12:00:00 AM,Issued,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6919028-CN,47.5602928,-122.37855998,"(47.5602928, -122.37855998)"
5535 30TH AVE S,6915395-CN,Single Family/Duplex,Residential,New,"Establish use as single family residence with attached accessory dwelling unit (AADU) and construct two family dwelling, per plan.",0,0,2,10/28/2022 12:00:00 AM,556682,01/11/2024 12:00:00 AM,07/11/2025 12:00:00 AM,Issued,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6915395-CN,47.55162136,-122.29444019,"(47.55162136, -122.29444019)"
5565 30TH AVE S,6915396-CN,Single Family/Duplex,Residential,New,"Establish use as single family residence with attached accessory dwelling unit (AADU) and construct two family dwelling, per plan.",0,0,2,10/28/2022 12:00:00 AM,523384,01/09/2024 12:00:00 AM,07/09/2025 12:00:00 AM,Issued,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6915396-CN,47.5511092,-122.29443191,"(47.5511092, -122.29443191)"
4722 B 37TH AVE SW,6930502-CN,Single Family/Duplex,Residential,New,"Construct east SFR #2, per plan (Establish use as single-family residence and construct 2 single-family dwellings. Review and process for 2 construction records under 6919028-CN)",0,0,1,10/28/2022 12:00:00 AM,199912,07/13/2023 12:00:00 AM,01/13/2025 12:00:00 AM,Issued,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6930502-CN,47.5602954,-122.37827999,"(47.5602954, -122.37827999)"
827 NE 98TH ST,6925519-CN,Single Family/Duplex,Residential,New,"Construct new two-family dwelling, per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU/DADU) and construct one and two family dwellings, per plan / Review and process for two CN records under 6925519-CN).",0,0,2,10/27/2022 12:00:00 AM,541572,09/08/2023 12:00:00 AM,03/08/2025 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6925519-CN,47.70023529,-122.3192032,"(47.70023529, -122.3192032)"
829 NE 98TH ST,6929907-CN,Single Family/Duplex,Residential,New,"Construct new one-family dwelling (DADU), per plan.  (Establish use as single family residence with attached and detached accessory dwelling units (AADU/DADU) and construct one and two family dwellings, per plan / Review and process for two CN records under 6925519-CN).",0,0,1,10/27/2022 12:00:00 AM,182199,09/08/2023 12:00:00 AM,03/08/2025 12:00:00 AM,Issued,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6929907-CN,47.70002004,-122.31919908,"(47.70002004, -122.31919908)"
